iter	Passed	Remaining
0	145	145016
1	145	72757
2	146	48618
3	148	37027
4	149	29795
5	150	24894
6	150	21396
7	151	18765
8	151	16720
9	152	15078
10	152	13736
11	153	12618
12	164	12480
13	165	11622
14	165	10886
15	166	10237
16	167	9658
17	167	9155
18	168	8697
19	170	8371
20	171	7998
21	172	7657
22	173	7351
23	173	7061
24	174	6796
25	174	6547
26	175	6321
27	175	6107
28	177	5929
29	177	5751
30	178	5580
31	179	5420
32	179	5270
33	180	5130
34	181	4993
35	181	4865
36	182	4743
37	182	4630
38	183	4520
39	184	4425
40	185	4336
41	185	4242
42	186	4152
43	187	4066
44	187	3986
45	188	3906
46	189	3832
47	189	3765
48	190	3698
49	191	3641
50	192	3579
51	193	3521
52	193	3461
53	194	3402
54	194	3349
55	195	3296
56	196	3247
57	196	3196
58	199	3175
59	199	3132
60	200	3087
61	201	3043
62	202	3006
63	202	2965
64	203	2926
65	203	2886
66	204	2847
67	205	2811
68	206	2787
69	207	2751
70	207	2717
71	208	2683
72	208	2649
73	209	2616
74	209	2585
75	210	2554
76	210	2523
77	211	2494
78	211	2465
79	211	2437
80	212	2413
81	213	2389
82	214	2364
83	214	2341
84	215	2316
85	215	2293
86	216	2270
87	216	2246
88	217	2224
89	217	2202
90	218	2180
91	218	2159
92	219	2138
93	222	2140
94	222	2120
95	223	2101
96	223	2081
97	224	2062
98	224	2043
99	224	2024
100	225	2007
101	226	1989
102	226	1972
103	226	1955
104	229	1954
105	230	1940
106	230	1925
107	231	1911
108	231	1895
109	232	1882
110	233	1867
111	233	1853
112	234	1839
113	235	1827
114	235	1815
115	236	1802
116	236	1788
117	237	1775
118	238	1763
119	238	1750
120	239	1738
121	239	1725
122	240	1713
123	240	1702
124	241	1690
125	242	1679
126	242	1668
127	243	1659
128	244	1648
129	244	1638
130	245	1629
131	246	1619
132	246	1609
133	247	1599
134	248	1589
135	248	1579
136	249	1570
137	252	1576
138	253	1567
139	253	1558
140	254	1548
141	254	1538
